UCLA_Emp_Accuracy_9_clip,Vid_4,Vid_2,Vid_3,Vid_5,Vid_6,Vid_8,Vid_10,Vid_12,Vid_13,Cvid_1,Cvid_2,Cvid_4,Cvid_5,Cvid_7,Cvid_8
data_point,NW_6_delighted,AR_4_sad,ME_5_amuse,TA_2_amuse,CT_3_anger,HR_1_sad,DH_6_anger,AR_3_delighted,TA_6_anger,circles1,circles2,circles4,circles5,circles7,circles8
1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,5,5,5,5,5,5,5,5,5,4,6,3,6,3,4
3,5,5,5,5,5,5,5,5,5,7,3,2,4,6,1
4,5,7,5,5,5,5,5,5,5,4,4,3,2,8,2
5,5,7,5,5,5,5,5,6.8775,5,5,1,6,4,9,4
6,5,7.753,5,6,5,5,5,7,5,8,2,8,5,7,3
7,5,8.189,6.1065,6,5,3.5855,5,7,5,9,4,7,2,4,6
8,5,9,7,6,5,3,5,7,5,6,2,9,4,6,7
9,5,9,7,6,5,3,5,7,5,9,1,6,3,7,9
10,5,9,7,6,7,3,4,7,5,7,3,4,6,9,8
11,5,9,7,6,7,3,4,7,5,,,,,,
12,5,7.9105,7,6,7,3,4,7,5,,,,,,
13,5,3.7305,7,6,7,2.6085,4,7.935,5,,,,,,
14,5,3,7,6,7,2,4,8,5,,,,,,
15,5,3,7.495,6,7,2,4.2845,8,5,,,,,,
16,5,3,8,6,7,2,5.2485,8,5,,,,,,
17,5,3,8,6,6.949,2,6,8,5,,,,,,
18,5,3,8,6.0205,6,2,6,8,6,,,,,,
19,5,2.526,8,7,6,2,6,8,6,,,,,,
20,5,2,8,7,6,2,6,8,6,,,,,,
21,5,2,8,7,6,2,5.515,8,6,,,,,,
22,5,2,8,7,6,2,4,8,6,,,,,,
23,5,2,8,7,6,2,4,8,6,,,,,,
24,5,2,8,7,6,2,4,8,6,,,,,,
25,5,5.0995,8,7,6,2,4,8,6,,,,,,
26,5,7.1275,8,7,6,2,4,8,6,,,,,,
27,5,7.824,8,7.5815,6,2,4,8,5.706,,,,,,
28,4,3.321,8,8,6,2,4,8,4.2605,,,,,,
29,4,2,8,8,6,2,4,8.198,4,,,,,,
30,4,2,8,8,6,2,4,9,4,,,,,,
31,4,2,8,8,6,2,4,9,4,,,,,,
32,4,2,8,8,6.5875,2,3.466,9,3.1655,,,,,,
33,4,2,8,8,6,2,3,9,3,,,,,,
34,4,2,8,8,6,2,3,9,3,,,,,,
35,4,2,8,8,6,2,3,9,3,,,,,,
36,4.8995,2,8,8,6,2,3,9,3,,,,,,
37,5,2,8,8,6,2,3,9,2.7915,,,,,,
38,5,2,8,8,6,2,3,9,2,,,,,,
39,5.615,2,8,8,6,2,2.436,9,2,,,,,,
40,6,2,8,8,6,2,2,9,2,,,,,,
41,6,2,8.6735,8,6.67,2,2,9,2,,,,,,
42,6,2,9,8.309,6,2,2,9,1.6395,,,,,,
43,6,2,9,9,6,2,2,9,1,,,,,,
44,6,2,9,9,6.0525,2,2,9,1,,,,,,
45,6.1205,2,9,9,5,2,2,9,1,,,,,,
46,7,2,9,9,5,2,2,9,1,,,,,,
47,7,2,9,9,5,2,2,9,1,,,,,,
48,7,2,9,9,4.147,2,1.8105,9,1,,,,,,
49,7,2,9,9,4,2,1,9,1,,,,,,
50,7,2,9,9,4,2,1.035,9,1,,,,,,
51,7,2,9,9,4,2,2.71,9,1,,,,,,
52,7,2,9,9,3.689,1.1125,4.601,9,1,,,,,,
53,7,2.5285,9,9,3,1,5,9,1,,,,,,
54,7,3,9,9,3,1,5,9,1,,,,,,
55,7.085,3,9,9,3,1,5,9,1,,,,,,
56,8,3,9,,2.693,1,5,9,1,,,,,,
57,8,3,9,,1.2555,1,5,9,1,,,,,,
58,8,3,9,,1,1.206,5,9,1,,,,,,
59,8,3,9,,1,3,5,9,1,,,,,,
60,8,3,9,,1,3,5,9,1,,,,,,
61,8,3,9,,1,,4.972,9,1,,,,,,
62,8,3.4915,9,,1,,4,9,1,,,,,,
63,8,6.49,9,,1,,4,9,1,,,,,,
64,8,7,9,,1,,4,9,1,,,,,,
65,8,4,9,,1,,4,8.816,1,,,,,,
66,8,2,9,,1,,,8,1,,,,,,
67,8,2,9,,1,,,8.8765,1,,,,,,
68,8,2,9,,1,,,9,1.6385,,,,,,
69,8,2,9,,1,,,9,2,,,,,,
70,8,2,9,,1,,,,2,,,,,,
71,8,2,9,,1,,,,2,,,,,,
72,8,2,9,,1,,,,2,,,,,,
73,8,2,9,,1,,,,2,,,,,,
74,8,,,,1,,,,2,,,,,,
75,8,,,,1,,,,2,,,,,,
76,8,,,,1,,,,2,,,,,,
77,8,,,,1,,,,2,,,,,,
78,8,,,,1,,,,2,,,,,,
79,7.3205,,,,1,,,,2,,,,,,
80,7,,,,1,,,,2,,,,,,
81,7,,,,3.145,,,,1.0365,,,,,,
82,7,,,,6,,,,1,,,,,,
83,,,,,6.0295,,,,1,,,,,,
84,,,,,7,,,,1.0585,,,,,,
85,,,,,7,,,,2.8435,,,,,,
86,,,,,7,,,,3,,,,,,
87,,,,,7,,,,3,,,,,,
88,,,,,7.5785,,,,3,,,,,,
89,,,,,8,,,,3.74,,,,,,
90,,,,,8,,,,4,,,,,,
91,,,,,8,,,,,,,,,,
92,,,,,8,,,,,,,,,,
93,,,,,8,,,,,,,,,,
94,,,,,8,,,,,,,,,,
95,,,,,8,,,,,,,,,,
96,,,,,8.1395,,,,,,,,,,
97,,,,,9,,,,,,,,,,
98,,,,,9,,,,,,,,,,
99,,,,,9,,,,,,,,,,
