Cond,face,jitter ,iti,onset_TR,onset_sec
SA,Selected/07f_sa_c_sm.bmp,0,1000,4,12
FE,Selected/40m_fe_o_sm.bmp,500,500,5,15.5
FE,Selected/10f_fe_o_sm.bmp,375,625,6,18.375
NE,Selected/36m_ne_o_sm.bmp,375,625,7,21.375
HA,Selected/38m_ha_x_sm.bmp,125,875,8,24.125
HA,Selected/19f_ha_c_sm.bmp,0,1000,9,27
SA,Selected/27m_sa_c_sm.bmp,0,1000,10,30
NE,Selected/37m_ne_o_sm.bmp,375,625,11,33.375
FE,Selected/24m_fe_o_sm.bmp,250,750,12,36.25
FE,Selected/38m_fe_o_sm.bmp,250,750,13,39.25
FX,Selected/fix_fx_f_fx.bmp,500,500,14,42.5
HA,Selected/40m_ha_o_sm.bmp,0,1000,15,45
FX,Selected/fix_fx_f_fx.bmp,375,625,16,48.375
FE,Selected/05f_fe_o_sm.bmp,500,500,17,51.5
SA,Selected/37m_sa_c_sm.bmp,500,500,18,54.5
AN,Selected/07f_an_c_sm.bmp,250,750,19,57.25
NE,Selected/09f_ne_o_sm.bmp,500,500,20,60.5
NE,Selected/19f_ne_o_sm.bmp,125,875,21,63.125
FX,Selected/fix_fx_f_fx.bmp,250,750,22,66.25
FX,Selected/fix_fx_f_fx.bmp,500,500,23,69.5
FE,Selected/07f_fe_c_sm.bmp,375,625,24,72.375
NE,Selected/27m_ne_c_sm.bmp,125,875,25,75.125
FX,Selected/fix_fx_f_fx.bmp,250,750,26,78.25
SA,Selected/38m_sa_c_sm.bmp,0,1000,27,81
NE,Selected/13f_ne_o_sm.bmp,125,875,28,84.125
SA,Selected/14f_sa_o_sm.bmp,125,875,29,87.125
FX,Selected/fix_fx_f_fx.bmp,0,1000,30,90
FX,Selected/fix_fx_f_fx.bmp,0,1000,31,93
FE,Selected/19f_fe_o_sm.bmp,250,750,32,96.25
FX,Selected/fix_fx_f_fx.bmp,375,625,33,99.375
AN,Selected/31m_an_c_sm.bmp,500,500,34,102.5
NE,Selected/14f_ne_c_sm.bmp,125,875,35,105.125
FX,Selected/fix_fx_f_fx.bmp,500,500,36,108.5
FX,Selected/fix_fx_f_fx.bmp,375,625,37,111.375
HA,Selected/01f_ha_o_sm.bmp,250,750,38,114.25
FE,Selected/14f_fe_o_sm.bmp,125,875,39,117.125
HA,Selected/24m_ha_x_sm.bmp,0,1000,40,120
HA,Selected/13f_ha_o_sm.bmp,250,750,41,123.25
NE,Selected/26m_ne_o_sm.bmp,500,500,42,126.5
FE,Selected/31m_fe_o_sm.bmp,125,875,43,129.125
HA,Selected/05f_ha_o_sm.bmp,375,625,44,132.375
HA,Selected/10f_ha_o_sm.bmp,0,1000,45,135
HA,Selected/26m_ha_o_sm.bmp,0,1000,46,138
