Cond,face,jitter ,iti,onset_TR,onset_sec
HA,Selected/31m_ha_o_sm.bmp,500,500,4,12.5
NE,Selected/07f_ne_c_sm.bmp,375,625,5,15.375
SA,Selected/13f_sa_c_sm.bmp,250,750,6,18.25
FE,Selected/05f_fe_o_sm.bmp,375,625,7,21.375
NE,Selected/10f_ne_o_sm.bmp,375,625,8,24.375
NE,Selected/19f_ne_o_sm.bmp,0,1000,9,27
FX,Selected/fix_fx_f_fx.bmp,125,875,10,30.125
AN,Selected/24m_an_o_sm.bmp,500,500,11,33.5
NE,Selected/36m_ne_o_sm.bmp,125,875,12,36.125
SA,Selected/14f_sa_o_sm.bmp,0,1000,13,39
AN,Selected/26m_an_c_sm.bmp,250,750,14,42.25
HA,Selected/27m_ha_o_sm.bmp,500,500,15,45.5
FE,Selected/07f_fe_c_sm.bmp,0,1000,16,48
AN,Selected/13f_an_o_sm.bmp,0,1000,17,51
FE,Selected/26m_fe_o_sm.bmp,375,625,18,54.375
FE,Selected/38m_fe_o_sm.bmp,0,1000,19,57
FX,Selected/fix_fx_f_fx.bmp,375,625,20,60.375
AN,Selected/31m_an_c_sm.bmp,125,875,21,63.125
FX,Selected/fix_fx_f_fx.bmp,250,750,22,66.25
FX,Selected/fix_fx_f_fx.bmp,500,500,23,69.5
SA,Selected/05f_sa_c_sm.bmp,125,875,24,72.125
AN,Selected/10f_an_c_sm.bmp,0,1000,25,75
FE,Selected/24m_fe_o_sm.bmp,500,500,26,78.5
AN,Selected/38m_an_o_sm.bmp,500,500,27,81.5
FX,Selected/fix_fx_f_fx.bmp,125,875,28,84.125
SA,Selected/26m_sa_c_sm.bmp,500,500,29,87.5
AN,Selected/14f_an_o_sm.bmp,0,1000,30,90
NE,Selected/01f_ne_c_sm.bmp,500,500,31,93.5
FE,Selected/10f_fe_o_sm.bmp,0,1000,32,96
NE,Selected/05f_ne_o_sm.bmp,125,875,33,99.125
AN,Selected/05f_an_c_sm.bmp,375,625,34,102.375
NE,Selected/26m_ne_o_sm.bmp,0,1000,35,105
HA,Selected/14f_ha_o_sm.bmp,125,875,36,108.125
FX,Selected/fix_fx_f_fx.bmp,375,625,37,111.375
SA,Selected/10f_sa_c_sm.bmp,250,750,38,114.25
FX,Selected/fix_fx_f_fx.bmp,250,750,39,117.25
